Category,Count,Percentage
Concepts,121760,23415.384615384617
Programming_Languages,97891,18825.19230769231
Machine_Learning_and_AI_Tools,84857,16318.653846153848
Data_Concepts_and_Architectures,41784,8035.384615384615
Big_Data_Frameworks,13124,2523.846153846154
Cloud_Platforms_and_Services,12247,2355.1923076923076
Databases,6280,1207.6923076923076
Soft_Skills_and_Methodologies,3201,615.5769230769231
DevOps_and_CI/CD_Tools,1495,287.5
Data_Integration,1070,205.76923076923075
Orchestration,649,124.8076923076923
Streaming,260,50.0
Visualization_and_BI_Tools,153,29.423076923076923
Data_Governance_and_Security,5,0.9615384615384616
