Skill,Count,Percentage
AI,402,77.3076923076923
SQL,238,45.76923076923077
Python,178,34.23076923076923
Data Modeling,158,30.384615384615383
ETL,156,30.0
Big Data,124,23.846153846153847
Spark,103,19.807692307692307
Machine Learning,90,17.307692307692307
AWS,74,14.23076923076923
Data Quality,74,14.23076923076923
Data Pipeline,74,14.23076923076923
Scala,69,13.26923076923077
Azure,68,13.076923076923078
Agile,54,10.384615384615385
PySpark,51,9.807692307692308
Hive,45,8.653846153846153
GCP,44,8.461538461538462
MySQL,40,7.6923076923076925
Unix,40,7.6923076923076925
Git,38,7.307692307692308
Redshift,34,6.538461538461539
Databricks,31,5.961538461538462
Java,30,5.769230769230769
Informatica,29,5.5769230769230775
NoSQL,27,5.1923076923076925
Snowflake,26,5.0
ELT,26,5.0
Airflow,24,4.615384615384616
PostgreSQL,24,4.615384615384616
ML,23,4.423076923076923
Hadoop,22,4.230769230769231
S3,21,4.038461538461538
Data Governance,21,4.038461538461538
Shell,20,3.8461538461538463
Data Lake,18,3.4615384615384617
Kafka,16,3.076923076923077
Data Warehouse,16,3.076923076923077
Scrum,15,2.8846153846153846
Azure Data Factory,12,2.307692307692308
Tableau,12,2.307692307692308
BigQuery,10,1.9230769230769231
C++,10,1.9230769230769231
EMR,9,1.7307692307692308
Lambda,9,1.7307692307692308
AWS Glue,8,1.5384615384615385
Synapse,7,1.3461538461538463
ADF,6,1.153846153846154
OLAP,6,1.153846153846154
Jira,6,1.153846153846154
CI/CD,5,0.9615384615384616
Talend,4,0.7692307692307693
MongoDB,4,0.7692307692307693
Documentation,4,0.7692307692307693
Kubernetes,4,0.7692307692307693
dbt,4,0.7692307692307693
Cassandra,3,0.576923076923077
HBase,3,0.576923076923077
Control-M,3,0.576923076923077
Docker,3,0.576923076923077
Kinesis,2,0.38461538461538464
Kubeflow,2,0.38461538461538464
Looker,2,0.38461538461538464
Denodo,2,0.38461538461538464
Neo4j,2,0.38461538461538464
DevOps,2,0.38461538461538464
Jenkins,2,0.38461538461538464
NiFi,2,0.38461538461538464
Flink,2,0.38461538461538464
Alteryx,2,0.38461538461538464
Problem Solving,2,0.38461538461538464
Terraform,2,0.38461538461538464
PowerBI,2,0.38461538461538464
Delta Lake,1,0.19230769230769232
Dimensional Modeling,1,0.19230769230769232
Qlik,1,0.19230769230769232
Redis,1,0.19230769230769232
DynamoDB,1,0.19230769230769232
Beam,1,0.19230769230769232
GitHub Actions,1,0.19230769230769232
Pig,1,0.19230769230769232
Fivetran,1,0.19230769230769232
Rust,1,0.19230769230769232
OLTP,1,0.19230769230769232
Metadata Management,1,0.19230769230769232
PyTorch,1,0.19230769230769232
